name, left, middle, right, latitude, longitude,time,,,,
NDA,6.510710716,8.346128464,9.209048748,nan,nan,07:37:54,loose bricks water mains,00:08,,
NDA,6.588327885,9.003591537,9.441900253,nan,nan,07:37:55,#,,,
TRIP,7.697796822,7.967174053,7.889556885,nan,nan,07:38:00,#,,,
NDA,8.158934116,7.77541399,7.94891119,nan,nan,07:38:01,#,,,
NDA,8.218288422,8.314168453,9.615397453,nan,nan,07:38:03,#,,,
NDA,7.127082348,8.711385727,9.42363739,nan,nan,07:38:10,#,,,
NDA,7.085990906,9.706711769,9.094905853,nan,nan,07:38:25,#,,,
NDA,6.953585148,9.670186043,9.309494495,nan,nan,07:38:34,#,,,
NDA,8.674860001,9.556043148,8.519625664,nan,nan,07:38:37,#,,,
NDA,8.578979969,9.556043148,8.368957043,nan,nan,07:38:45,lower bricks centre of walkway,05:00,,
NDA,7.259488106,9.706711769,9.633660316,nan,nan,07:38:48,#,,,
NDA,7.200133801,9.633660316,9.291231632,nan,nan,07:38:49,#,,,
NDA,8.674860001,8.789002895,8.578979969,nan,nan,07:38:55,#,,,
NDA,8.026528358,9.113168716,8.428311348,nan,nan,07:39:01,,,,
NDA,7.222962379,9.419071674,9.021854401,nan,nan,07:39:33,#,,,
NDA,8.848357201,9.496688843,7.757151127,nan,nan,07:39:47,?,might count as crack going to main st,05:53,
NDA,8.158934116,9.496688843,8.674860001,nan,nan,07:40:02,#,,,
NDA,9.346020222,8.387219906,9.578871727,nan,nan,07:40:10,gutter not covered properly,06:19,TRIP,
NDA,8.830094337,8.063054085,9.65192318,nan,nan,NDA,#,,,
NDA,10.64724922,10.01261473,9.094905853,nan,nan,07:40:13,water mains,06:22,,
NDA,8.081316948,8.410048485,8.368957043,nan,nan,07:40:14,gutter not covered properly,,,TRIP
NDA,10.89836359,9.25014019,8.830094337,nan,nan,07:40:17,#,,,
TRIP,7.181870937,9.556043148,8.638334274,nan,nan,07:40:40,#,,,
NDA,7.638442516,9.190785885,8.519625664,nan,nan,07:40:47,bollards,07:00,,
NDA,9.382545948,8.848357201,8.464837074,nan,nan,07:40:48,#,,,
NDA,8.620071411,9.519517422,8.674860001,nan,nan,07:40:52,#,,,
NDA,6.912493706,9.574306011,9.113168716,nan,nan,07:41:07,#,,,
NDA,8.410048485,8.90314579,8.410048485,nan,nan,07:41:09,#,,,
NDA,11.4508152,9.711277485,9.711277485,nan,nan,07:41:22,#,,,
NDA,8.656597137,9.135997295,8.620071411,nan,nan,07:41:26,#,,,
NDA,10.3230834,9.994351864,8.980762959,nan,nan,07:41:33,#,,,
NDA,8.560717106,9.674751759,7.907819748,nan,nan,07:41:34,#,,,
NDA,9.017288685,9.729540348,8.00369978,nan,nan,07:41:35,#,,,
NDA,10.72486639,9.213614464,8.008265495,nan,nan,07:41:36,#,,,
NDA,8.907711506,9.729540348,8.021962643,nan,nan,07:41:37,#,,,
TRIP,8.90314579,9.670186043,7.985436916,nan,nan,07:41:39,#,,,
